,lyrics,artist,song,album_name,genres,spotify_id,popularity,release,danceability,energy,key,mode,valence,tempo,duration_ms
2906,"Você me ama bem mais
Eu me distraio um pouco
Se eu paro pra pensar
Concluo que eu sou louco
Juro que eu não queria ser assim
Só gostar de quem não gosta de mim

Ai, meu Deus
Bem que a minha mãe me avisou
Que eu ia conhecer o amor
E deixaria ele ir embora
Se você me amar demais
Eu paro de te amar
Um amor fácil me apavora

Ai, meu Deus
Eu vou morrer sozinho
Se eu continuar nesse caminho
Ai, meu Deus
Eu vou morrer sozinho
Se eu continuar nesse caminho
De não deixar ninguém me amar
E de só me apaixonar por quem me faz chorar e me maltrata
Ai, meu Deus
Eu vou morrer sozinho

Ai, meu Deus, eu vou morrer sozinho
Ai, meu Deus, eu vou morrer sozinho
Ai, meu Deus, eu vou morrer sozinho
Ai, meu Deus, eu vou morrer sozinho

Você me ama bem mais
Eu me distraio um pouco
Se eu paro pra pensar
Concluo que eu sou louco
Juro que eu não queria ser assim
Só gostar de quem não gosta de mim

Ai, meu Deus
Bem que a minha mãe me avisou
Que eu ia conhecer o amor
E deixaria ele ir embora
Se você me amar demais
Eu paro de te amar
Um amor fácil me apavora

Ai, meu Deus
Eu vou morrer sozinho
Se eu continuar nesse caminho
Ai, meu Deus
Eu vou morrer sozinho
Se eu continuar nesse caminho
De não deixar ninguém me amar
E de só me apaixonar por quem me faz chorar e me maltrata
Ai, meu Deus
Eu vou morrer sozinho

Ai, meu Deus, eu vou morrer sozinho
Ai, meu Deus, eu vou morrer sozinho
Ai, meu Deus, eu vou morrer sozinho
Ai, meu Deus, eu vou morrer sozinho

Ai, meu Deus
Ai, meu Deus
Eu vou morrer sozinho",Jão,Vou Morrer Sozinho,LOBOS,"pop,electropop",1XVN2BVHfKUUcMH0jxSRZ5,57.0,2018,0.8140000000000001,0.6459999999999999,10.0,1.0,0.753,126.034,174519
2910,"Meu bem, meu bem
Você tem que acreditar em mim
Ninguém pode destruir assim
Um grande amor
No dê ouvidos maldade alheia
E creia:
Sua estupidez não lhe deixa ver
Que eu te amo

Meu bem, meu bem
Use a inteligência uma vez só
Quantos idiotas vivem só
Sem ter amor
E você vai ficar também sozinha
E eu sei porquê
Sua estupidez não lhe deixa ver
Que eu te amo

Quantas vezes eu tentei falar
Que no mundo não há mais lugar
Pra quem toma decisões na vida
Sem pensar
Conte ao menos até três
Se precisar conte outra vez
Mas pense outra vez
Meu bem, meu bem, meu bem
Eu te amo

Meu bem, meu bem

Nunca vi algum tão incapaz

Que o meu amor é bem maior
Que tudo que existe
Mas, sua estupidez não lhe deixa ver
Que eu te amo",Gal Costa,Sua Estupidez,Gal A Todo Vapor (Live),"baroque,pop",7IxybxcFyIGvMfgXePwT4U,34.0,2014,0.5870000000000001,0.074,9.0,1.0,0.483,139.67700000000002,244000
3198,"Tudo é tão bom e azul
E calmo como sempre
Os olhos piscaram de repente
Um sonho
As coisas são assim
Quando se está amando
As bocas não se deixam
E o segundo não tem fim

Um dia feliz
Às vezes é muito raro
Falar é complicado
Quero uma canção

Fácil, extremamente fácil
Pra você, e eu e todo mundo cantar junto
Fácil, extremamente fácil
Pra você, e eu e todo mundo cantar junto

Tudo se torna claro
Pateticamente pálido
E o coração dispara
Se eu vejo o teu carro

A vida é tão simples
Mas dá medo de tocar
As mãos se procuram sós
Como a gente mesmo quis

Um dia feliz
Às vezes é muito raro
Falar é complicado
Quero uma canção

Fácil, extremamente fácil
Pra você, e eu e todo mundo cantar junto
Fácil, extremamente fácil
Pra você, e eu e todo mundo cantar junto",Jota Quest,Fácil,De Volta Ao Planeta,pop rock,5rhijzoJmc7ZdnEgBS58Wh,53.0,1998,0.655,0.903,7.0,1.0,0.624,101.93,318627
3317,"Ninguém perguntou por você
Eu ri, te citei mesmo assim
Como quem não quer nada
Já tive tudo com você
Dois filhos com você
Na minha cabeça com você
Tudo com você
Conta conjunta com você
Suruba com você
Na minha cabeça com você
Tudo com você
Ninguém perguntou por você
Eu ri, te citei mesmo assim
Como quem não quer nada
Já tive tudo com você
Dois filhos com você
Na minha cabeça com você
Tudo com você
Conta conjunta com você
Suruba com você
Na minha cabeça com você
Tudo com você
Lance livre
Imaginário
A gente só serviu no sonho
A gente só prestou dormindo
Amor fantasma camarada
A gente só serviu no sonho
A gente só prestou dormindo
Já tive tudo com você
Dois filhos com você
Na minha cabeça com você
Tudo com você
Conta conjunta com você
Suruba com você
Uma planta com você
Cigarro com você
Uma banda com você
Um estresse com você
Um frango com você
Tudo com você
Tu... do
Tu... do
Com você
Com você
Tudo
Com você
Tudo
Com você
Com você
Com você",Letrux,Ninguem Perguntou por Voce,Letrux em Noite de Climão,synthpop,5O1KKCymoKvOOOfbLBsIG2,47.0,2017,0.588,0.812,7.0,1.0,0.331,119.021,321647
3591,"Se alguém perguntar por mim .
Diz que fui por aí
Levando um violão debaixo do braço
Em qualquer esquina eu paro
Em qualquer botequim eu entro
Se houver motivo
É mais um samba que eu faço
Se quiserem saber se volto
Diga que sim
Mas só depois que a saudade se afastar de mim
Mas só depois que a saudade se afastar de mim
Tenho um violão para me acompanhar
Tenho muitos amigos, eu sou popular
Tenho a madrugada como companheira
A saudade me dói, o meu peito me rói
Eu estou na cidade, eu estou na favela

Eu estou por aí

Se alguém perguntar por mim

Sempre pensando nela
Diz que fui por aí

Levando um violão debaixo do braço
Em qualquer esquina eu paro
Em qualquer botequim eu entro
Se houver motivo
É mais um samba que eu faço
Se quiserem saber se volto
Diga que sim
Mas só depois que a saudade se afastar de mim
Mas só depois que a saudade se afastar de mim",Nara Leão,Diz Que Fui Por Aí,Nara (1964),"bossa nova,mpb,samba",28BSCtSAR6HQmdrt823rg4,22.0,1964,0.705,0.476,7.0,1.0,0.544,80.97,129667
3603,"Se aliança dissipar
E sentença for só desamor
A tormenta aumentará
Quando uma comunidade viva
Insurrece o valor da paz
Endurecendo em terra em mente

Todo biit, byte, e tera
Será força bruta a navegar
Será nossa herança em terra!

Amanhecerá
De novo em nós
Amanhã, será?

Amanhecerá
De novo em nós
Amanhã, será?

O ""post"" é voz que vos libertará
Descendentes tantos insurgirão
A arma, o réu, o véu que cairá
Cravos e tulipas bombardeiam
Um jardim novo se levantará
O jasmim urge de um solo sem medo

O sol reclama no oriente
Brada a lua que ilumina
Rebelando orações e mentes

Amanhecerá
De novo em nós
Amanhã, será?

Amanhecerá
De novo em nós
Amanhã, será?",O Teatro Mágico,Amanhã... Será? (Ao Vivo),Recombinando Atos (Ao Vivo),"mpb,folk",2cBxLG3XTw6Wi7JpvpU9Iv,32.0,2016,0.431,0.847,7.0,1.0,0.179,173.03099999999995,220507
3653,"Dig-dig-joy, dig-joy popoy
Dig-dig-joy, dig-joy popoy
Dig-dig-joy, dig-joy popoy

Dig-dig-joy, dig-joy popoy
Vem brincar comigo
Dig-dig-joy, dig-joy popoy
Vem ser meu amigo

Dig-dig-joy, dig-joy popoy
Vem brincar comigo
Dig-dig-joy, dig-joy popoy
Yeah, uô

É uma nova maneira bem legal de brincar
Não fique aí de bobeira, vem com a gente jogar
Convide os amigos, a mamãe, a vovó
Chame todo mundo, quanto mais é melhor
Ninguém vai ficar de fora
O jogo começa agora

Dig-dig-joy, dig-joy popoy
Vem brincar comigo
Dig-dig-joy, dig-joy popoy
Vem ser meu amigo

Dig-dig-joy, dig-joy popoy
Vem brincar comigo
Dig-dig-joy, dig-joy popoy
Yeah, uô

Vamos fazer uma corrente e prestar atenção
Pra entrar na brincadeira use a imaginação
O primeiro faz um gesto para o segundo imitar
Daí por diante é que o bicho vai pegar
O lance é se ligar no que o do lado fizer
E cada um copia da maneira que puder

Bota o som pra rolar
É hora de praticar
Vamos treinar uma vez
Quando contar até três
Um, dois, um, dois, três, já

Dig-dig-joy, dig-joy popoy
Dig-dig-joy, dig-joy popoy
Dig-dig-joy, dig-joy popoy
Dig-dig-joy, dig-joy popoy

Dig-dig-joy, dig-joy popoy
Vem brincar comigo
Dig-dig-joy, dig-joy popoy
Vem ser meu amigo

Dig-dig-joy, dig-joy popoy
Vem brincar comigo
Dig-dig-joy, dig-joy popoy
Yeah, uô

Agora tá muito fácil, todos sabem brincar
Que tal tornar um pouco mais difícil pra complicar
O primeiro faz um gesto maluco demais
O segundo se liga e em seguida já faz
Vai ser bem legal, você não pode perder
Se consentre que agora o jogo é pra valer

Um, dois, um, dois, três, já

Dig-dig-joy, dig-joy popoy
Dig-dig-joy, dig-joy popoy
Dig-dig-joy, dig-joy popoy
Dig-dig-joy, dig-joy popoy

Dig-dig-joy, dig-joy popoy
Vem brincar comigo
Dig-dig-joy, dig-joy popoy
Vem ser meu amigo

Dig-dig-joy, dig-joy popoy
Vem brincar comigo
Dig-dig-joy, dig-joy popoy
Vem ser meu amigo

Dig-dig-joy, dig-joy popoy
Vem brincar comigo
Dig-dig-joy, dig-joy popoy
Yeah, uô",Sandy & Junior,Dig-Dig-Joy,Dig - Dig - Joy,"pop,pop rock",5Y2DShXxVd44SZqmTGqZu2,49.0,1996,0.79,0.909,7.0,0.0,0.914,117.628,206307
3768,"Rasgue as minhas cartas
E não me procure mais
Assim será melhor, meu bem

O retrato que eu te dei
Se ainda tens, não sei
Mas se tiver, devolva-me

Deixe-me sozinho
Porque assim eu viverei em paz
Quero que sejas bem feliz
Junto do seu novo rapaz

Rasgue as minhas cartas
E não me procure mais
Assim vai ser melhor, meu bem

O retrato que eu te dei
Se ainda tens, não sei
Mas se tiver, devolva-me
Devolva-me
Devolva-me",Adriana Calcanhotto,Devolva-me,Público,mpb,5sz2LrG6jY6u7U0g2k7kws,58.0,2000,0.453,0.284,10.0,1.0,0.183,98.974,131427
3788,"Já faz um tempo que eu não sabia
O que era ser de mim
E todo dia
Me dividir, fazer luar
Desconstruir ideia

Se chega perto agora é só folia
Se vê de longe a minha alegria
Eu tenho fé pra caminhar
Eu 'tô aqui
Eu posso estar em qualquer lugar
Em qualquer lugar

Uh
Uh
Uh
Uh

Todo esse tempo eu nem me conhecia
Me fiz um outro e nem por que sabia
Eu me perdi pra me encontrar
Agora eu sou e sinto estar
Vivendo tudo a cada passo lento
Vendo esse mundo e me entendendo
Eu tenho fé pra caminhar
Eu 'tô aqui
Eu posso estar em qualquer lugar
Em qualquer lugar

Uh
Uh
Uh
Uh

O tempo é agora
O tempo é agora em você
O tempo é agora
Agora
Em você

O tempo é agora
O tempo é agora em você
O tempo é agora
Agora
Agora

Uh
Uh
Uh
Uh",Anavitória,O Tempo É Agora,O Tempo É Agora,"mpb,folk",3bR8wBqLky6b61ROJlaBEF,68.0,2018,0.725,0.532,4.0,1.0,0.5589999999999999,103.94,220567
4132,"Não vá pensando que determinou
Sobre o que só o amor pode saber
Só porque disse que não me quer
Não quer dizer que não vá querer
Pois tudo o que se sabe do amor
É que ele gosta muito de mudar
E pode aparecer onde ninguém ousaria supor

Só porque disse que de mim não pode gostar
Não quer dizer que não tenha do que duvidar
Pensando bem, pode mesmo chegar a se arrepender
E pode ser então que seja tarde demais
Vai saber?

Não vá pensando que determinou
Sobre o que só o amor pode saber
Só porque disse que não me quer
Não quer dizer que não vá querer
Pois tudo o que se sabe do amor
É que ele gosta muito de se dar
E pode aparecer onde ninguém ousaria se pôr

Só porque disse que de mim não pode gostar
Não quer dizer que não tenha o que considerar
Pensando bem, pode mesmo chegar a se arrepender
E pode ser então que seja tarde demais

Vai saber?
Vai saber?
Vai saber?

Não vá pensando que determinou
Sobre o que só o amor pode saber
Só porque disse que não me quer
Não quer dizer que não vá querer
Pois tudo o que se sabe do amor
É que ele gosta muito de jogar
E pode aparecer onde ninguém ousaria supor

Só porque disse que de mim não pode gostar
Não quer dizer que não venha a reconsiderar
Pensando bem, pode mesmo chegar a se arrepender
E pode ser então que seja tarde demais",Marisa Monte,Vai Saber?,Universo Ao Meu Redor,mpb,6g8lZ8F8EYZGR9SuSJ1Imw,7.0,2006,0.7140000000000001,0.352,8.0,0.0,0.522,141.82,240400
4195,"Eu quero mais que um
Mais que mil e mil e um
Um beijo é muito bom
Tem que ser apaixonado
Pode ser até roubado
Esteja onde estiver é bom né
Beijo bom de fruta
Ou beijo de café
Não importa tanto assim
Pode ser de chicle
Depende o jeito
Pra me agradar
Tem que ter respeito
Quando me beijar

Quem souber amar me leva
Nada de enganação
Beijo sem amor não serve
Vem que leva um não
Quem souber amar me leva
Tem que ser assim
Eu tenho juízo sei cuidar de mim

Se no pensamento vem
Lembranças de alguém
Se o amor não resistir
Ligue então pra mim
Olha só o que o beijo faz
A gente gosta e corre atrás
No começo é muito bom
Mas é melhor no fim
Um beijo",Sandy e Junior,Beijo é Bom,Sonho Azul,"pop,soundtrack,latin pop,dance pop",0HWbrq4aPwaHlxqMDCVuYa,41.0,1997,0.901,0.956,9.0,1.0,0.963,112.826,184933
4260,"Ah! Tenho de pouco surrados miudos malditos
Fui entrelaçado e já fui casado
Um tanto inibido
E pra muita gente sou um depravado

Ah! Julgo não ser enxerido
Nem intrometido
Tampouco ousado
É que estou saturado de tanta má lida
mesmo trabalhando como um condenado

Ah! Eu estou só vendo, sabendo, sentindo
e sofrendo calado sem tê-la ao meu lado...

É só vendo, sabendo, sentindo
e sofrendo calado sem tê-la ao meu lado

Vendo, sabendo, sentindo e sofrendo calado...",Di Melo,Ma-lida,Di Melo,"funk,samba",7jWlZivu1xk20nBEboxyhm,8.0,1975,0.519,0.441,0.0,1.0,0.0813,121.72,211593
4267,"Os dias passam devagar
A noite me diz que você nao vai voltar
Os móveis saem do lugar
Eu corro o mundo e não consigo te alcançar

Sem você meu rádio fica mudo
Minha TV fica sem cor
Meu violão fica sem som
Sem você o meu corpo não reflete mais no espelho
Minha casa cai
Sem você eu perco o chão

Então me aceite como eu sou
Não me peça pra mudar
Essas manias que você ja perdoou
Eu vou levando a vida
Eu vou tentando disfarçar
Mas vou deixar a porta do meu quarto aberta
Caso você queira voltar
Caso voce queira voltar

Os dias passam devagar
A noite me diz que você nao vai voltar
Os móveis saem do lugar
Eu corro o mundo e não consigo te alcançar

Sem você meu rádio fica mudo
Minha TV fica sem cor
Meu violão fica sem som
Sem você o meu corpo não reflete mais no espelho
Minha casa cai
Sem você eu perco o chão

Então me aceite como eu sou
Não me peça pra mudar
Essas manias que você ja perdoou
Eu vou levando a vida
Eu vou tentando disfarçar
Mas vou deixar a porta do meu quarto aberta
Caso você queira voltar
Caso voce queira voltar

Caso voce queira voltar

Caso voce queira voltar

Caso voce queira voltar",Luka,Porta Aberta,Porta Aberta,"pop,pop",1ES3AeBEBrkvmaFUUxJFVt,48.0,2003,0.752,0.908,2.0,1.0,0.94,128.125,154053
4271,"Olhei até ficar cansado
De ver os meus olhos no espelho
Chorei por ter despedaçado
As flores que estão no canteiro

Os punhos e os pulsos cortados
E o resto do meu corpo inteiro
Há flores cobrindo o telhado
E embaixo do meu travesseiro

Há flores por todos os lados
Há flores em tudo que eu vejo

A dor vai curar essas lástimas
O soro tem gosto de lágrimas
As flores têm cheiro de morte
A dor vai fechar esses cortes

Flores, Flores
As flores de plástico não morrem

Olhei até ficar cansado
De ver os meus olhos no espelho
Chorei por ter despedaçado
As flores que estão no canteiro

Os punhos e os pulsos cortados
E o resto do meu corpo inteiro
Há flores cobrindo o telhado
E embaixo do meu travesseiro

Há flores por todos os lados
Há flores em tudo que eu vejo

A dor vai curar essas lástimas
O soro tem gosto de lágrimas
As flores têm cheiro de morte
A dor vai fechar esses cortes

Flores, Flores
As flores de plástico não morrem
Flores, Flores
As flores de plástico não morrem",Titãs,Flores,Acústico MTV,brazilian rock,0gTnRw8eAI1Tu3vj1fKLDw,43.0,1997,0.468,0.76,2.0,1.0,0.831,151.85299999999995,215440
